eta,target,flank_ratio,weight,n
0.680675,honeycomb_K3,nan,0.0,8
0.680675,kagome_K2,nan,0.0,8
0.680675,maple_leaf_K1,0.0,0.0001240079365079365,8
0.681175,honeycomb_K3,nan,0.0,9
0.681175,kagome_K2,nan,0.0,9
0.681175,maple_leaf_K1,0.2222222222222222,0.0002204585537918871,9
0.681675,honeycomb_K3,nan,0.0,9
0.681675,kagome_K2,nan,0.0,9
0.681675,maple_leaf_K1,0.0,0.0,9
0.682175,honeycomb_K3,nan,0.0,9
0.682175,kagome_K2,nan,0.0,9
0.682175,maple_leaf_K1,0.26666666666666666,0.00033068783068783067,9
0.682675,honeycomb_K3,nan,0.0,9
0.682675,kagome_K2,nan,0.0,9
0.682675,maple_leaf_K1,0.0625,0.00011022927689594356,9
0.683175,honeycomb_K3,nan,0.0,8
0.683175,kagome_K2,nan,0.0,8
0.683175,maple_leaf_K1,0.0,0.0001240079365079365,8
0.683675,honeycomb_K3,nan,0.0,9
0.683675,kagome_K2,nan,0.0,9
0.683675,maple_leaf_K1,0.42857142857142855,0.00033068783068783067,9
0.684175,honeycomb_K3,nan,0.0,9
0.684175,kagome_K2,nan,0.0,9
0.684175,maple_leaf_K1,0.0,0.0002204585537918871,9
0.684675,honeycomb_K3,nan,0.0,9
0.684675,kagome_K2,nan,0.0,9
0.684675,maple_leaf_K1,0.0,0.0,9
0.685175,honeycomb_K3,nan,0.0,9
0.685175,kagome_K2,nan,0.0,9
0.685175,maple_leaf_K1,0.0,0.0,9
0.685675,honeycomb_K3,nan,0.0,8
0.685675,kagome_K2,nan,0.0,8
0.685675,maple_leaf_K1,0.0,0.0,8
0.686175,honeycomb_K3,nan,0.0,9
0.686175,kagome_K2,nan,0.0,9
0.686175,maple_leaf_K1,0.1,0.0002204585537918871,9
0.69,honeycomb_K3,nan,0.0,9
0.69,kagome_K2,nan,0.0,9
0.69,maple_leaf_K1,0.75,0.00033068783068783067,9
0.7,honeycomb_K3,nan,0.0,9
0.7,kagome_K2,nan,0.0,9
0.7,maple_leaf_K1,0.0,0.0,9
0.71,honeycomb_K3,nan,0.0,9
0.71,kagome_K2,nan,0.0,9
0.71,maple_leaf_K1,0.0,0.00011022927689594356,9
