eta,eps_star,sem,n_replicas,n_configurations
0.71,0.03173958714790985,8.422616056326168e-05,44,352
0.72,0.029225559927337552,8.480706166283257e-05,44,352
0.73,0.02685085208040241,6.668028650709521e-05,44,352
0.74,0.02445977662238673,6.996468269613343e-05,44,352
0.75,0.02239334694479262,6.13478511916115e-05,44,352
0.76,0.020272713990777038,5.8290499398888446e-05,44,352
0.77,0.01818377409786571,4.5530708835216705e-05,44,352
0.771343,0.017834210451240826,5.599124140267035e-05,44,352
0.771843,0.017785577545194588,5.290174956822287e-05,44,352
0.772343,0.017664178388683855,4.8652163921180646e-05,44,352
0.772843,0.017523015586171888,5.352518349540675e-05,44,352
0.773343,0.017409089684730022,6.747942383309196e-05,44,352
0.773843,0.01740329641102719,5.66904464224461e-05,44,352
0.774343,0.01725173933738367,5.203337701979338e-05,44,352
0.774843,0.01714164509408787,5.270744641710291e-05,44,352
0.775343,0.017109077867512635,5.521966716392364e-05,44,352
0.775843,0.016921967973831824,6.197094878957451e-05,44,352
0.776343,0.016844833999693457,6.127574801207459e-05,44,352
0.776843,0.016713163465205294,5.892768078098637e-05,44,352
0.777343,0.016616784126789956,4.8753140720869506e-05,44,352
0.777843,0.016499296742760385,4.7045910719947455e-05,44,352
0.778343,0.016291182627592767,5.432377489996197e-05,44,352
0.778843,0.01633414290860978,4.417999996888063e-05,44,352
0.779343,0.01619569346183838,4.06104108550887e-05,44,352
0.779843,0.016057007165308324,4.4743005731399325e-05,44,352
0.78,0.016004250498182368,4.6524446234166965e-05,44,352
0.780343,0.01590975706005607,4.3527623581603074e-05,44,352
0.780843,0.015836417845469634,4.605600293108894e-05,44,352
0.781343,0.015802805597669764,4.373356372198617e-05,44,352
0.781843,0.015666721289447877,4.406276290566712e-05,44,352
0.782343,0.0154561157282452,4.6630237813132264e-05,44,352
0.782843,0.015367941957949223,5.92348962734846e-05,44,352
0.783343,0.015318978534992445,4.414233031700041e-05,44,352
0.79,0.013617323616218717,4.39939191318337e-05,44,352
0.8,0.011241384470398205,3.936377347487386e-05,44,352
0.81,0.008658088886588549,3.129925646529497e-05,44,352
0.82,0.0061040607601772715,2.375185808806634e-05,44,352
