eta,reference,P_wrap,marked,chi,xi,n
0.65,K2_kagome,0.0,0.011353615520282186,1.0432863203761038,0.09809879780773317,9
0.65,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.66,K1_maple_leaf,0.0,0.20844356261022928,1.7647292948978097,0.7341870766078318,9
0.66,K2_kagome,0.0,0.011904761904761904,1.0162962962962963,0.04205252761465886,9
0.66,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.67,K1_maple_leaf,0.0,0.22116815476190477,1.8172945752998522,0.7770876591256568,8
0.67,K2_kagome,0.0,0.008742559523809524,1.0278637770897832,0.061595077153777655,8
0.67,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.674175,K1_maple_leaf,0.0,0.2227733686067019,1.8089243892516065,0.7866098465590188,9
0.674175,K2_kagome,0.0,0.007936507936507936,1.011111111111111,0.024273824748576592,9
0.674175,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.674675,K1_maple_leaf,0.0,0.2195216049382716,1.7590855926903037,0.7085896171830435,9
0.674675,K2_kagome,0.0,0.011022927689594354,1.0,0.0,9
0.674675,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.675175,K1_maple_leaf,0.0,0.22376543209876543,1.7690724652159588,0.725872901463412,9
0.675175,K2_kagome,0.0,0.009424603174603174,1.0085470085470085,0.02538295115572761,9
0.675175,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.675675,K1_maple_leaf,0.0,0.2251984126984127,1.8681620048813552,0.8552756077537053,9
0.675675,K2_kagome,0.0,0.009700176366843033,1.008230452674897,0.02373410902197797,9
0.675675,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.676175,K1_maple_leaf,0.0,0.22389632936507936,1.796983749196039,0.7758509094289027,8
0.676175,K2_kagome,0.0,0.010912698412698412,1.01,0.02527217662845835,8
0.676175,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.676675,K1_maple_leaf,0.0,0.22839506172839508,1.7902145243867733,0.7600284948262926,9
0.676675,K2_kagome,0.0,0.008432539682539682,1.0265107212475633,0.05591591145468292,9
0.676675,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.677175,K1_maple_leaf,0.0,0.22337962962962965,1.752553785122801,0.7223365072684673,9
0.677175,K2_kagome,0.0,0.01052689594356261,1.0349462365591398,0.07992985556662673,9
0.677175,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.677675,K1_maple_leaf,0.0,0.22580467372134042,1.8144682863950305,0.7807587674874202,9
0.677675,K2_kagome,0.0,0.009038800705467372,1.0,0.0,9
0.677675,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.678175,K1_maple_leaf,0.0,0.22668650793650796,1.823493645988121,0.7717572505037481,9
0.678175,K2_kagome,0.0,0.00870811287477954,1.030214424951267,0.05629209286020472,9
0.678175,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.678675,K1_maple_leaf,0.0,0.22941468253968256,1.7883241123069662,0.7443988775606518,8
0.678675,K2_kagome,0.0,0.008990575396825396,1.0166666666666666,0.03093891491421389,8
0.678675,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.679175,K1_maple_leaf,0.0,0.2230489417989418,1.7255123842276114,0.6909752979370282,9
0.679175,K2_kagome,0.0,0.00992063492063492,1.0123456790123457,0.026562793569849825,9
0.679175,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.679675,K1_maple_leaf,0.0,0.22569444444444445,1.8410085923069515,0.763114507875886,9
0.679675,K2_kagome,0.0,0.007936507936507936,1.0148148148148148,0.027750797738490176,9
0.679675,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.68,K1_maple_leaf,0.0,0.22459215167548496,1.7619278380838415,0.7350017331165142,9
0.68,K2_kagome,0.0,0.009369488536155202,1.011111111111111,0.024310130678668114,9
0.68,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.680175,K1_maple_leaf,0.0,0.22574955908289246,1.7439644969689896,0.7038469153393816,9
